iter	Logloss
0	0.6797184755
1	0.669476608922	0.662083240633	0.65464339854	0.6469107403
55	0.641824660166	0.638103068377	0.632589538788	0.629104729699	0.6270827365110	0.6243572611	0.6239669782
12	12	0.6197499913	13	0.6184686214	0.6173919084
15	15	0.6155919816	16	0.6143120717	0.6124231453118	0.6101752042119	0.6084099881220	0.6073409845
21	0.6057953413
22	0.6041168948
23	0.6032466938
24	0.6024383697
25	0.600688078
26	0.5992057717
27	0.5989903429
28	0.5980859671
29	0.5977366139
30	0.5973975985
31	0.5961836016
32	0.5949615946
33	0.5944277506
34	0.5933260421
35	0.5923663393
36	0.5920442597
37	0.5914332535
38	0.590450359
39	0.5900623654
40	0.5891125383
41	0.5886663148
42	0.5882241676
43	0.5873803313
44	0.5865809641
45	0.5853423305
46	0.5846604804
47	0.5842089358
48	0.5835982498
49	0.5832684939
50	0.5827222995
51	0.5823910552
52	0.581954172
53	0.5814894054
54	0.5806869576
55	0.5802487732
56	0.5801164288
57	0.5798172446
58	0.5790988335
59	0.5785091248
60	0.578412158
61	0.57825039
62	0.5782004817
63	0.5780813996
64	0.5774716566
65	0.5766764414
66	0.576652025
67	0.5762126708
68	0.5756115985
69	0.5751451699
70	0.575142
71	0.5744213813
72	0.5737689689
73	0.5733680632
74	0.57278961
75	0.5725286584
76	0.5723402915
77	0.5720963048
78	0.5718442239
79	0.5713411007
80	0.5706611881
81	0.5702223799
82	0.5697797861
83	0.569258734
84	0.5684610266
85	0.5677866518
86	0.5675638418
87	0.566456167
88	0.566086348
89	0.5658212938
90	0.5655900234
91	0.5643078902
92	0.5637729512
93	0.5633431299
94	0.5629738613
95	0.5626924804
96	0.5618421019
97	0.5615889254
98	0.5606844362
99	0.5603138401
100	0.5593716848
101	0.5591039667
102	0.5584620303
103	0.5578035026
104	0.5574974465
105	0.5566814236
106	0.5559309283
107	0.5553291252
108	0.5540659237
109	0.5536531393
110	0.5532766534
111	0.5527877715
112	0.5523910299
113	0.551376201
114	0.5511539324
115	0.5503222472
116	0.5498272134
117	0.5482809965
118	0.5481090683
119	0.5475225165
120	0.5473816822
121	0.5466457611
122	0.546093607
123	0.5457178276
124	0.5453433194
125	0.5448963764
126	0.5438661234
127	0.5430856574
128	0.5416519966
129	0.5411684211
130	0.539899734
131	0.5393529102
132	0.539097755
133	0.5385521484
134	0.5383674241
135	0.5372009834
136	0.536858549
137	0.5356108995
138	0.5351471418
139	0.5350485352
140	0.5349223259
141	0.534683974
142	0.534482304
143	0.5342534789
144	0.5341273177
145	0.533957929
146	0.5335221759
147	0.5325447332
148	0.5323990956
149	0.5322651231
150	0.5317784017
151	0.5312167276
152	0.5311386746
153	0.5310394481
154	0.5307602836
155	0.5300907371
156	0.5293537655
157	0.5285810756
158	0.528062025
159	0.5272910176
160	0.5271207335
161	0.5266173841
162	0.5257852413
163	0.5254309377
164	0.5249826652
165	0.5248942553
166	0.5238819302
167	0.5238117174
168	0.5232628127
169	0.5231014593
170	0.5224776929
171	0.5222518353
172	0.5217895603
173	0.5212658453
174	0.5211391695
175	0.5210287153
176	0.5201035392
177	0.5200264915
178	0.5198560302
179	0.5197998491
180	0.5194938495
181	0.5194398324
182	0.5191728426
183	0.5189759564
184	0.5189073836
185	0.5187492525
186	0.518395378
187	0.5182989738
188	0.5180713568
189	0.5179596742
190	0.5178124065
191	0.5177739482
192	0.5177058701
193	0.5165560531
194	0.5163208112
195	0.5161660782
196	0.5160736508
197	0.5159184711
198	0.5155999156
199	0.5155436253
5041209893
